,msa,state,fips,FIPS,CBSA,sex,q7_family_members,NO family,Family Available,usborn1a,q17,q38,party,ideo,qe3,age,educ,hisp,race,relig,income,phoneuse,recage,receduc,racethn,weight
47,38860,Maine,23005,23005,38860,Male,1 up to 5,0,1,"Yes, born in U.S.",Ohio,Virginia,Independent,Moderate,Full-time,50,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Atheist (do not believe in God),"$100,000 to under $150,000","Dual/few, some cell",45-54,COLLEGE+,White~H,2.708333333
48,0,Maine,23001,23001,30340,Male,1 up to 5,0,1,"Yes, born in U.S.",Louisiana,Maine,Republican,Moderate,Part-time,65,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$40,000 to under $50,000","Dual/few, some cell",65+,COLLEGE+,White~H,1.125
49,30340,Maine,23001,23001,30340,Female,More than 20,0,1,"Yes, born in U.S.",Maine,Maine,Independent,Moderate,Not employed,33,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Nothing in particular,"$75,000 to under $100,000","Dual/few, some cell",25-34,COLLEGE+,White~H,2.905660377
50,30340,Maine,23001,23001,30340,Female,1 up to 5,0,1,"Yes, born in U.S.",Maine,Florida,Democrat,Moderate,Not employed,64,High school graduate (Grade 12 or GED certificate),No,White,Roman Catholic (Catholic),"$10,000 to under $20,000",LLO,55-64,HS GRAD,White~H,3.238095238
51,12620,Maine,23019,23019,12620,Female,More than 20,0,1,"Yes, born in U.S.",Maine,Maine,Republican,Conservative,Full-time,62,High school graduate (Grade 12 or GED certificate),No,White,Roman Catholic (Catholic),"$75,000 to under $100,000","Dual/few, some cell",55-64,HS GRAD,White~H,3.595238095
52,38860,Maine,23005,23005,38860,Female,1 up to 5,0,1,"Yes, born in U.S.",Massachusetts,Maine,Independent,Moderate,Not employed,58,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Roman Catholic (Catholic),"$100,000 to under $150,000","Dual/few, some cell",55-64,COLLEGE+,White~H,1.69047619
53,38860,Maine,23005,23005,38860,Male,1 up to 5,0,1,"Yes, born in U.S.",Maine,California,Democrat,Moderate,Not employed,75,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Roman Catholic (Catholic),"$20,000 to under $30,000",LLO,65+,COLLEGE+,White~H,1.214285714
54,0,Idaho,16017,16017,41760,Female,1 up to 5,0,1,"Yes, born in U.S.",Iowa,California,Democrat,Liberal,Not employed,83,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$30,000 to under $40,000","Dual/few, some cell",65+,COLLEGE+,White~H,1
55,14260,Idaho,16001,16001,14260,Male,11 up to 20,0,1,"Yes, born in U.S.",California,Idaho,Democrat,Moderate,Not employed,35,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Roman Catholic (Catholic),"$30,000 to under $40,000",Dual/most cell,35-44,COLLEGE+,White~H,1.41509434
56,14260,Idaho,16001,16001,14260,Male,None,1,0,"Yes, born in U.S.",Ohio,Idaho,Republican,Conservative,Full-time,37,"College graduate (B.S., B.A., or other 4-year degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$100,000 to under $150,000","Dual/few, some cell",35-44,COLLEGE+,White~H,1.943396226
57,14260,Idaho,16027,16027,14260,Female,None,1,0,"Yes, born in U.S.",Nevada,Idaho,Democrat,Conservative,Full-time,31,"Some college, no 4-year degree (including associate degree)",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$40,000 to under $50,000","Dual/few, some cell",25-34,SOME COLL,White~H,4.604166667
58,26820,Idaho,16019,16019,26820,Male,6 up to 10,0,1,"Yes, born in U.S.",Oklahoma,Idaho,Independent,Conservative,Not employed,79,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Nothing in particular,"$30,000 to under $40,000","Dual/few, some cell",65+,COLLEGE+,White~H,1.113207547
59,0,Idaho,16073,16073,14260,Male,1 up to 5,0,1,"No, some other country",,California,No preference (VOL.),Liberal,Full-time,25,High school incomplete (Grades 9-11),Yes,Black,Roman Catholic (Catholic),"Less than $10,000","Dual/few, some cell",25-34,LT HS,Hispanic,5.5
60,44700,California,6099,06099,33700,Male,6 up to 10,0,1,"Yes, born in U.S.",California,Hawaii,Democrat,Moderate,Full-time,40,High school graduate (Grade 12 or GED certificate),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$50,000 to under $75,000",Dual/most cell,35-44,HS GRAD,White~H,2.666666667
61,44700,California,6077,06077,44700,Male,6 up to 10,0,1,"Yes, born in U.S.",California,California,Republican,Conservative,Full-time,52,High school graduate (Grade 12 or GED certificate),No,White,Agnostic (not sure if there is a God),"$30,000 to under $40,000","Dual/few, some cell",45-54,HS GRAD,White~H,2.962264151
62,33700,California,6077,06077,44700,Female,More than 20,0,1,"Yes, born in U.S.",California,Arizona,Republican,Liberal,Part-time,63,"Some college, no 4-year degree (including associate degree)",No,White,Roman Catholic (Catholic),"$50,000 to under $75,000","Dual/few, some cell",55-64,SOME COLL,White~H,1.75
63,32900,California,6047,06047,32900,Male,None,1,0,"No, some other country",,New York,Independent,Liberal,Part-time,25,High school graduate (Grade 12 or GED certificate),No,Black,Christian (VOL.),"$10,000 to under $20,000",Dual/most cell,25-34,HS GRAD,Black~H,2.20754717
64,32900,California,6047,06047,32900,Female,1 up to 5,0,1,"No, some other country",,Oregon,Independent,Conservative,Part-time,27,"College graduate (B.S., B.A., or other 4-year degree)",Yes,White,Roman Catholic (Catholic),"$20,000 to under $30,000",LLO,25-34,COLLEGE+,Hispanic,2.476190476
65,40900,California,6067,06067,40900,Male,11 up to 20,0,1,"No, some other country",,California,Republican,Moderate,Full-time,33,"Some college, no 4-year degree (including associate degree)",No,Asian,Roman Catholic (Catholic),"$75,000 to under $100,000",Dual/most cell,25-34,SOME COLL,Other,5.145833333
66,32900,California,6047,06047,32900,Female,1 up to 5,0,1,"No, some other country",,California,Don't know/Refused,Moderate,Not employed,25,High school incomplete (Grades 9-11),Yes,Black,Roman Catholic (Catholic),"Less than $10,000",LLO,25-34,LT HS,Hispanic,2.603773585
67,44700,Minnesota,27141,27141,33460,Female,11 up to 20,0,1,"Yes, born in U.S.",California,Oregon,Independent,Conservative,Not employed,50,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,Other or mixed race (SPECIFY),Nothing in particular,"$150,000 or more","Dual/few, some cell",45-54,COLLEGE+,Other,3.083333333
68,0,California,6109,06109,43760,Female,11 up to 20,0,1,"Yes, born in U.S.",California,California,Don't know/Refused,Very conservative,Part-time,Don't know/Refused,High school incomplete (Grades 9-11),No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",Don't know/Refused,"Dual/few, some cell",,LT HS,White~H,5.142857143
69,33700,California,6077,06077,44700,Male,6 up to 10,0,1,"Yes, born in U.S.",Florida,Hawaii,Independent,Conservative,Not employed,62,"Some college, no 4-year degree (including associate degree)",No,Other or mixed race (SPECIFY),"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$75,000 to under $100,000","Dual/few, some cell",55-64,SOME COLL,Other,2.113207547
70,41700,Texas,48029,48029,41700,Female,1 up to 5,0,1,"No, some other country",,Texas,Republican,Moderate,Full-time,50,"None, or grade 1-8",Yes,White,Roman Catholic (Catholic),"$30,000 to under $40,000",LLO,45-54,LT HS,Hispanic,3.404761905
71,41700,Texas,48259,48259,41700,Male,None,1,0,"Yes, born in U.S.",California,Texas,Independent,Conservative,Not employed,49,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Mormon (Church of Jesus Christ of Latter-day Saints/LDS),"$100,000 to under $150,000","Dual/few, some cell",45-54,COLLEGE+,White~H,1.8125
72,41700,Texas,48029,48029,41700,Female,1 up to 5,0,1,"Yes, born in U.S.",Wisconsin,Texas,Republican,Moderate,Full-time,64,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$150,000 or more",LLO,55-64,COLLEGE+,White~H,1.270833333
73,41700,Texas,48029,48029,41700,Female,None,1,0,"Yes, born in U.S.",Texas,Texas,Democrat,Conservative,Part-time,37,High school incomplete (Grades 9-11),Yes,White,Roman Catholic (Catholic),"Less than $10,000",Dual/most cell,35-44,LT HS,Hispanic,4.150943396
74,41700,Texas,48029,48029,41700,Female,6 up to 10,0,1,"Yes, born in U.S.",California,California,Democrat,Moderate,Part-time,33,High school incomplete (Grades 9-11),No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$10,000 to under $20,000",LLO,25-34,LT HS,Black~H,3.830188679
75,41700,Texas,48029,48029,41700,Male,None,1,0,"No, some other country",,Texas,Independent,Liberal,Full-time,30,High school incomplete (Grades 9-11),Yes,White,Roman Catholic (Catholic),"$10,000 to under $20,000",CPO,25-34,LT HS,Hispanic,6.071428571
76,35620,New York,36061,36061,35620,Female,11 up to 20,0,1,"No, some other country",,New York,Democrat,Moderate,Full-time,60,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",Yes,Don't know/Refused,Roman Catholic (Catholic),"$50,000 to under $75,000",LLO,55-64,COLLEGE+,Hispanic,1.5
77,35620,New York,36061,36061,35620,Female,6 up to 10,0,1,"Yes, born in U.S.",New York,New York,Independent,Moderate,Part-time,46,"College graduate (B.S., B.A., or other 4-year degree)",No,White,Roman Catholic (Catholic),Don't know/Refused,Dual/most cell,45-54,COLLEGE+,White~H,1.716981132
78,35620,New York,36061,36061,35620,Male,6 up to 10,0,1,"Yes, born in U.S.",Pennsylvania,New York,Independent,Moderate,Not employed,46,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Jewish (Judaism),Don't know/Refused,"Dual/few, some cell",45-54,COLLEGE+,White~H,3.9375
79,35620,New York,36061,36061,35620,Female,1 up to 5,0,1,"Yes, born in U.S.",New York,Virginia,Democrat,Liberal,Full-time,55,"Some college, no 4-year degree (including associate degree)",No,Black,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church","$40,000 to under $50,000",Dual/most cell,55-64,SOME COLL,Black~H,1
80,35620,New York,36061,36061,35620,Female,1 up to 5,0,1,"No, some other country",,Don't know/Refused,Democrat,Moderate,Full-time,48,"College graduate (B.S., B.A., or other 4-year degree)",No,Black,Nothing in particular,"$30,000 to under $40,000","Dual/few, some cell",45-54,COLLEGE+,Black~H,3.166666667
81,35620,New York,36061,36061,35620,Female,1 up to 5,0,1,"Yes, born in U.S.",New York,Don't know/Refused,Democrat,Moderate,Part-time,66,"Post-graduate training or professional schooling after college (e.g., toward a Master's degree or Ph.D.; law or medical",No,White,Jewish (Judaism),"$150,000 or more","Dual/few, some cell",65+,COLLEGE+,White~H,2.458333333
